id,category_id,title,author,description,release_year
1054.0,Art,Art and Beauty in the Middle Ages,Umberto Eco,"In this authoritative, lively book, the celebrated Italian novelist and philosopher Umberto Eco presents a learned summary of medieval aesthetic ideas. Juxtaposing theology and science, poetry and mysticism, Eco explores the relationship that existed between the aesthetic theories and the artistic experience and practice of medieval culture. ""[A] delightful study. . . . [Eco's] remarkably lucid and readable essay is full of contemporary relevance and informed by the energies of a man in love with his subject.""--Robert Taylor, Boston Globe ""The book lays out so many exciting ideas and interesting facts that readers will find it gripping.""--Washington Post Book World ""A lively introduction to the subject.""--Michael Camille, The Burlington Magazine ""If you want to become acquainted with medieval aesthetics, you will not find a more scrupulously researched, better written (or better translated), intelligent and illuminating introduction than Eco's short volume.""--D. C. Barrett, Art Monthly",2002.0
1055.0,Drama,Long Day's Journey Into Night,Eugene O'Neill,A play about a family of four psychologically disturbed people reveals aspects of the author's own life.,2002.0
1056.0,Biography & Autobiography,Marcel Proust,William C. Carter,"This book is a magisterial account of the life and times of Marcel Proust. Based on a host of recently available letters, memoirs, and manuscripts, it sheds new light on Proust's character, his development as an artist, and his masterpiece ""In Search of Lost Time"" (long known in English as ""Remembrance of Things Past""). 47 illustrations.",2002.0
1057.0,History,How Democratic is the American Constitution?,Robert A. Dahl,"The author argues that certain aspects of the American Constitution are deeply flawed and detract from a purely democratic society and includes discussions on the electoral college, the Federalist Papers, and proportional representation.",2003.0
1058.0,History,The Voices of Morebath,Eamon Duffy,#NAZWA?,2003.0
1059.0,History,Cuba,Richard Gott,"A thorough examination of the history of the controversial island country looks at little-known aspects of its past, from its pre-Columbian origins to the fate of its native peoples, complete with up-to-date information on Cuba's place in a post-Soviet world.",2005.0
1060.0,History,Hannibal,Leonard Cottrell,"In the year 216 B.C., Hannibal of Carthage, faced with an opposing Roman army twice the size of his own, outwitted the enemy at Cannae by means of a strategy which has become a classic of its kind. As a result of his famous ”double pincer” maneuver, 70,000 Roman soldiers died within the space of a few hours on a field the size of New York's Central Park. Yet, as devastating and startling as Cannae was, it was only one of a long list of incredible achievements. Hannibal's fantastic 1,000-mile march across the Alps from Spain to Italy was one of the wonders of ancient times. He began his hazardous journey with 90,000 infantry, 12,000 cavalry, and 37 elephants. By the time he reached the Valley of the Po, more than 30,000 troops and many of his elephants had perished, but he still managed to stay in Italy for sixteen years.Blending biography and military adventure, Hannibal is a portrait of a military genius who was also a highly civilized man. The son of Hamilcar Barca, a famous general in his own right, Hannibal was a student of the Greek classics. But his father's lifelong grudge against Rome fostered in the son a deep hatred for that Republic and a fierce determination to subdue it forever. This resulted in the bloody battles of Lake Trasimene, Campania, Nole, Capua, and Zama, all of which Leonard Cottrell describes with vigor and authority. In gathering material for Hannibal, Cottrell traveled the entire route that Hannibal took across the Alps, thus bringing to his account a valuable firsthand knowledge of his subject. With the drama and authenticity for which he is famous, Leonard Cottrell describes Hannibal's amazing campaign—a saga of victory after victory which fell just short of its ultimate goal: the annihilation of Rome.",1992.0
1061.0,History,The Collapse of the Third Republic,William Lawrence Shirer,"On June 17, 1940 William L. Shirer stood in the streets of Paris and watched the unending flow of gray German uniforms along its boulevards. In just six lovely weeks in the spring and summer of 1940 a single battle brought down in total military defeat one of the world's oldest, greatest, and most civilized powers—the second mightiest empire on earth and the possessor of one of the finest military machines ever assembled. How did it happen? After nearly a decade of research in the massive archives left from World War II and after hundreds of conversations with the Third Republic’s leaders, generals, diplomats, and ordinary citizens, Shirer presents the definitive answer in his stunning re-creation of why and how France fell before Hitler's armies in 1940. His book is also a devastating examination of the confusion, corruption, and cynicism that drained the strength and toughness of a democracy which Thomas Jefferson once called ""every man's second country."" This book complements and completes the dramatic story of The Rise and Fall of the Third Reich and continues to rank as one of the most important works of history of our time.",1994.0
1062.0,Biography & Autobiography,Unsung Heroes of Rock 'n' Roll,Nick Tosches,"The author of ""Country"" now offers a paean to a forsaken time of relentless excess, sudden ruin, and fierce music--the days of rock 'n' roll, long before Elvis came on the scene. 42 illustrations.",1999.0
1063.0,Performing Arts,The Dark Side Of Genius,Donald Spoto,"This is the definitive life story of Alfred Hitchcock, the enigmatic and intensely private director of Psycho, Vertigo, Rear Window, The Birds, and more than forty other films. While setting forth every stage of Hitchcock's long life and brilliant career, Donald Spoto also explores the roots of the director's obsessions with blondes, food, murder, and idealized love—and he traces the incomparable, bizarre genius from Hitchcock's English childhood through the golden years of his career in America as one of the greatest directors in the history of filmmaking.",1999.0
1064.0,Literary Collections,Sammlung,Mark Twain,This book contains more than seventy-five essays on a variety of topics by Mark Twain.,2000.0
1065.0,Biography & Autobiography,Johnny Cash,Michael Streissguth,"Explores the life and accomplishments of the successful country singer known as the rebellious ""Man in Black"" who struggled with a guilt-ridden childhood, addictions, and self-doubt.",2006.0
1066.0,Sports & Recreation,23 Days in July,John Wilcockson,"Taking place over twenty-three days in July and across more than 2,100 miles of smooth blacktop, rough cobblestones, and punishing mountain terrain, the Tour de France is the most grueling sports event in the world. And in 2004, five-time champion Lance Armstrong set out to achieve what no other cyclist in the 100-year history of the race had ever done: win a sixth Tour de France.Armstrong had four serious challengers who wanted nothing more than to deny the man the French call Le Boss from achieving his goal. The major threat among them was the only other former Tour de France champion in last year's race, Germany's Jan Ullrich- The Kaiser. But when the race was over, Lance Armstrong once again wore the yellow jersey of victory.",2005.0
1067.0,Fiction,The Last Boleyn,Karen Harper,"Henry is generally well-behaved, but he is occasionally arrogant and vain. Henry is at heart a hard worker, but his frequent bouts of illness hinder his work.",2006.0
1068.0,Cooking,Giada's Family Dinners,Giada De Laurentiis,"The Food Network host and best-selling author of Everyday Italian presents a collection of easy-to-prepare, flexible recipes for Italian food lovers with a busy schedule, explaining how to put together simple but tempting meals for everyday evening dinners or for special holiday occasions. 400,000 first printing.",2006.0
1069.0,Juvenile Fiction,The Spy Who Barked,George Edward Stanley,"Eight-year-old spy Adam Sharp pursues the very short Ambassador of Barkastan, who has stolen a top secret computer program, DOGBARK, that will let him understand the language of dogs.",2002.0
1070.0,Fiction,Terrorist,John Updike,"Eighteen-year-old Ahmad, the son of an Irish-American mother and long-gone Egyptian father, is contemptuous of the self-indulgent society surrounding him, and devoted to the teachings of Islam, becomes drawn into an insidious terrorist plot.",2006.0
1071.0,Fiction,Beloved,Toni Morrison,"Sethe, an escaped slave living in post-Civil War Ohio with her daughter and mother-in-law, is haunted persistently by the ghost of the dead baby girl whom she sacrificed, in a new edition of the Nobel Laureate's Pulitzer Prize-winning novel. 25,000 first printing.",2006.0
1072.0,Fiction,The Name of the Rose,Umberto Eco,"In 1327, finding his sensitive mission at an Italian abbey further complicated by seven bizarre deaths, Brother William of Baskerville turns detective, penetrating the cunning labyrinth of the abbey and deciphering coded manuscripts for clues.",2006.0
1073.0,Fiction,The Road,Cormac McCarthy,"In a novel set in an indefinite, futuristic, post-apocalyptic world, a father and his young son make their way through the ruins of a devastated American landscape, struggling to survive and preserve the last remnants of their own humanity. 250,000 first printing.",2006.0
1074.0,Fiction,The Best of Wodehouse,Pelham Grenville Wodehouse,"A compilation of works by one of the twentieth century's leading humorists features two novels, The Code of the Woosters and Uncle Fred in the Springtime, as well as fourteen short stories and three autobiographical pieces.",2007.0
1075.0,Fiction,The Devil Wears Prada,Lauren Weisberger,"A small-town girl fresh out of an Ivy League college lands a job at a prestigious fashion magazine, but wonders if the glamorous perks are worth working for the editor from hell.",2006.0
1076.0,Fiction,Death Match,Lincoln Child,"When a believed-perfect couple is found dead of an apparent double suicide, former FBI forensic psychologist Christopher Lash is hired by the matchmaking company that introduced the pair to each other to perform a discreet investigation through which he discovers that the matchmaking company may harbor dark secrets. By the co-author of Utopia. Reprint.",2006.0
1077.0,Fiction,The Lighthouse,P. D. James,"Commander Adam Dalgliesh and his team are called in to solve a sensitive high profile case on Combe island off the Cornish coast of England at a time when Dalgliesh is dealing with his uncertain future with Emma Lavenham, Kate Miskin struggles with her own personal turmoil, and Sergeant Francis Benton-Smith must cope with resentment over a female superior. Reader's Guide available. Reprint. 250,000 first printing.",2006.0
1078.0,Fiction,If Beale Street Could Talk,James Baldwin,"When a pregnant Tish's boyfriend Fonny, a sculptor, is wrongfully jailed for the rape of a Puerto Rican woman, their families unite to prove the charge false. Reprint. 10,000 first printing.",2006.0
1079.0,Biography & Autobiography,A Million Little Pieces,James Frey,"A memoir of drug and alcohol abuse and the rehabilitation experience examines addiction and recovery through the eyes of a man who had taken his addictions to deadly extremes, describing the battle to confront the consequences of his life.",2004.0
1080.0,Art museum curators,Robert Langdon Novels,Dan Brown,"While in Paris on business, Harvard symbologist Robert Langdon receives an urgent late-night phone call: the elderly curator of the Louvre has been murdered inside the museum. Near the body, police have found a baffling cipher. While working to solve the enigmatic riddle, Langdon is stunned to discover it leads to a trail of clues hidden in the works of Da Vinci--clues visible for all to see--yet ingeniously disguised by the painter. Langdon joins forces with a gifted French cryptologist, Sophie Neveu, and learns the late curator was involved in the Priory of Sion--an actual secret society whose members included Sir Isaac Newton, Botticelli, Victor Hugo, and Da Vinci, among others. In a breathless race through Paris, London, and beyond, Langdon and Neveu match wits with a faceless power broker who seems to anticipate their every move. Unless Langdon and Neveu can decipher the labyrinthine puzzle in time, the Priory's ancient secret--and an explosive historical truth--will be lost forever.",2003.0
1081.0,Drama,The Sunset Limited,Cormac McCarthy,"McCarthy's new play packs all the wallop of his gut-wrenching fiction. ""The Sunset Limited,"" though, is not about blood and guts but about the battle for the human soul.",2006.0
1082.0,Sports & Recreation,A Walk in the Woods,Bill Bryson,"Traces the author's adventurous trek along the Appalachian Trail past its natural pleasures, human eccentrics, and offbeat comforts.",2007.0
1083.0,Fiction,The Alchemist's Daughter,Katharine McMahon,"Growing up under the watchful eye of her father, an eccentric chemist, young Emilie Selden is a female scientist--and alchemist--in an eighteenth-century world that dismisses female accomplishment, until an unexpected encounter with the temptations of the outside world lures her away from her home, her work, and her father. Reprint. 25,000 first printing.",2006.0
1084.0,Cooking,Everyday Pasta,Giada De Laurentiis,Collects Italian cookery recipes that range from classic favorites to innovative new dishes and are accompanied by simple instructions for making fresh pasta and a selection of side dishes.,2007.0
1085.0,Biography & Autobiography,Dreams from My Father,Barack Obama,"The son of an African father and white American mother discusses his childhood in Hawaii, his struggle to find his identity as an African American, and his life accomplishments.",2007.0
1086.0,Fiction,Trial by Fire,Terri Blackstock,Paramedic Issie Mattreaux joins forces with minister Nick Foster to investigate after Foster's church is burned to the ground and a young African-American man is found shot to death in the rubble. Original.,2000.0
1087.0,Fiction,Breach of Promise,James Scott Bell,Actor and father Mark Gillen finds out how far modern courts will go to keep a child from a parent who has strong Christian views.,2004.0
1088.0,Fiction,Deadlock,James Scott Bell,"Nearly losing her life in a car accident, U.S. Supreme Court justice Millicent turns to her new pastor for guidance and experiences a profound religious conversion that causes her to rethink her voting choices and become subject to impeachment. Original.",2002.0
1089.0,Fiction,Ever After,Karen Kingsbury,"Twenty-year-old Emily meets Justin, a young Army reservist, and their deep love built on the foundation of faith blossoms into plans for marriage, while Emily's parents must learn to set aside their opposing views on the war in Iraq.",2006.0
1090.0,Religion,Fanning the Flame,Christopher J. H. Wright,"The Bible, the cross, and the mission – by leading members of the evangelical Anglicans.",2003.0
1091.0,Religion,The Church on the Other Side,Brian D. McLaren,Tested strategies for pastors and churches that want to be somewhere else in the postmodern world and need reliable and practical help to get there. Now revised and expanded. Formerly titled Reinventing Your Church.,2003.0
1092.0,Religion,The Church in Emerging Culture,Andy Crouch,"A feisty, entertaining, and educational conversation about the shape of the church of the 21st century.",2003.0
1093.0,Religion,Velvet Elvis,Rob Bell,"A guide to living an authentic Christian life urges readers to seek an expression of faith that is personal, rather than in accordance with the belief systems of others, in a handbook that cites the examples of Jesus while offering a perspective on the unlimited nature of God.",2005.0
1094.0,Religion,A Search for What Makes Sense,Brian D. McLaren,"Finding faith is not a leap in the dark that requires you to forsake truth and intellectual honesty. In two companion volumes, Brian McLaren affirms the needs of both your mind and your heart as he helps you to find a faith that is real, honest, good, enriching, transforming, and yours.",2007.0
1095.0,Religion,The Complete Green Letters,Miles J. Stanford,"Five volumes on sanctification published under one cover, presenting biblical foundations and keys to spiritual growth in Christ. It includes 'Abide Above', 'The Green Letters', 'The Ground of Growth', 'The Principle of Position', and 'The Reckoning That Counts'.",1983.0
1096.0,Language Arts & Disciplines,How to Write a Damn Good Novel,James N. Frey,"Covers characterization, plot, theme, conflicts, climax and resolution, point of view, dialogue, revision, and manuscript submission",1987.0
1097.0,Adultery,The Awakening,Kate Chopin,"Tradition and the female talent: The awakening as a solitary book / Elaine Showalter -- Personal property: exchange value and the female self in The awakening / Margit Stange -- Thanatos and eros: Kate Chopin's The awakening / Cynthia Griffin Wolff -- ""A language which nobody understood"": emancipatory strategies in The awakening / Patricia S. Yaeger -- The construction of ambiguity in The awakening: a linguistic analysis / Paula A. Treichler.",1993.0
1098.0,Juvenile Nonfiction,James Herriot's Treasury for Children,James Herriot,"A collection of the author's stories for children, including ""Moses the Kitten,"" ""The Market Square Dog,"" and ""Smudge, the Little Lost Lamb.""",1992.0
1099.0,Fiction,Modern Classics of Science Fiction,Gardner Dozois,"Brian Aldiss William Gibson R.A. Lafferty Ursula K. Le Guin Lucius Shepard Bruce Sterling Theodore Sturgeon Howard Waldrop Connie Willis Gene Wolfe Roger Zelazny ""The best stories are timeless. Long years from now the stories here may still touch someone, cause that person to blink, and put the book down for a second, and stare off through the hallow air, and shirver in wonder.""",1993.0
1100.0,Fiction,White Man's Grave,Richard Dooling,"When a Peace Corps volunteer disappears in the African wilds, his father and his friend go after him, believing that American power and influence encompass the globe--but soon encounter greater powers and a mystery beyond their control. Reprint.",1995.0
1101.0,Biography & Autobiography,Isak Dinesen,Judith Thurman,"Winner of the National Book Award A brilliant literary portrait, Isak Dinesen remains the only comprehensive biography of one of the greatest storytellers of our time. Her magnificent memoir, Out of Africa, established Isak Dinesen as a major twentieth-century author, who was twice nominated for the Nobel Prize. With exceptional grace, Judith Thurman's classic work explores Dinesen's life. Until the appearance of this book, the life and art of Isak Dinesen have been--as Dinesen herself wrote of two lovers in a tale-- ""a pair of locked caskets, each containing the key to the other."" Judith Thurman has provided the master key to them both.",1995.0
1102.0,Performing Arts,Four Weddings and a Funeral,Richard Curtis,"The hilarious, Academy Award-nominated screenplay that features six old friends, three disastrous receptions, a tongue-tied priest, and the role that made Hugh Grant the world's favorite bumbling bachelor. Toasted by romantics and cynics, critics and fans, Four Weddings and a Funeral grossed more than $250 million worldwide, garnered Academy Award nominations for Best Picture and Best Original Screenplay, and was unanimously pronounced the romantic comedy of the 90s. Richard Curtis's smart, irreverent, and brilliantly crafted screenplay will delight fans of the movie, as well as screenwriters and film students. From the first spoken line to the last (""I do""), it's a jubilant celebration of friendship, romance, and good humor.",1996.0
1103.0,"Body, Mind & Spirit",The Everyday I Ching,Sarah Dening,Details how to use the ancient Chinese book of divination and discussess how to relate the I Ching's hexagrams to the problems of modern life,1997.0
1104.0,Fiction,The Far Pavilions,M. M. Kaye,"A monumental, internationally best-selling novel set in nineteenth-century India weaves a vast tapestry of love, war, and adventure in the foothills of the towering Himalayas. Reprint.",1997.0
1105.0,Fiction,From Bondage,Henry Roth,An old Jew looks back on his climb from the slums of New York into the rarefied world of wealth and intellect. He describes a romance with his college professor. By the author of A Diving Rock on the Hudson.,1997.0
1106.0,Fiction,Mary Queen of Scotland & The Isles,Margaret George,"A fictional portrait of the life of Mary Queen of Scots begins with the Catholic princess in 1542, only six days old, being crowned as the Queen of the Scots, and continues with her crowning as Queen of France and subsequent downfall. Reprint. 25,000 first printing.",1997.0
1107.0,Political Science,The Communist Manifesto: Marx,John Toews,"This is an edition of The Communist Manifesto with related documents. A 30-page introduction traces the trajectory of Marx's thought from the 1840s onward and provides background on the political, social and intellectual contexts of which the Manifesto was an historical product. Accompanying the Manifesto are 8 additional documents that show the evolution of and influences on Marx's thought over time. A Marx-Engels chronology, questions for consideration, a bibliography, illustrations, a glossary of terms and an index are also included.",1999.0
1108.0,Biography & Autobiography,Through the Dark Labyrinth,Gordon Bowker,"Traces the life of Durrell, author of ""The Alexandria Quartet,"" and discusses the influence of Eastern religions on his work",1997.0
1109.0,Fiction,I Capture the Castle,Dodie Smith,"The 1934 journal of seventeen-year-old Cassandra Mortmain reveals her perspective on six stormy months in the eccentric and poverty-stricken life of her family in a ruined Suffolk castle, ending with the revelation that Cassandra is deeply in love.",1948.0
1110.0,Biography & Autobiography,Marilyn Manson,Kurt Reighley,"Presents a biographical portrait of the band, focusing on their music, their antics and incidents on the road, and their often misunderstood message",1998.0
1111.0,Literary Collections,Radio On,Sarah Vowell,"A self-proclaimed member of Generation X examines what is on the radio day-by-day and how she as an audience interacts with it from morning to night, in a car, at home, and in the office",1997.0
1112.0,Fiction,Human Croquet,Kate Atkinson,"A dark yet moving exploration of a young girl's past begins on Isobel Fairfax's sixteenth birthday, when she comes to learn the truth about her strange family and the mysterious disappearance of her own mother. Reprint.",1999.0
1113.0,Fiction,Bachelor Brothers' Bed & Breakfast Pillow Book,Bill Richardson,"Brothers Hector and Virgil make another appearance in this collection of anecdotes, recipes, gossip, and childhood memories, in a novel in which local poet Solomon Solomon makes an amusing revelation about the history of the twin landlords",1998.0
1114.0,Fiction,One Thousand White Women,Jim Fergus,"One Thousand White Women is the story of May Dodd and a colorful assembly of pioneer women who, under the auspices of the U.S. government, travel to the western prairies in 1875 to intermarry among the Cheyenne Indians. The covert and controversial ""Brides for Indians"" program, launched by the administration of Ulysses S. Grant, is intended to help assimilate the Indians into the white man's world. Toward that end May and her friends embark upon the adventure of their lifetime. Jim Fergus has so vividly depicted the American West that it is as if these diaries are a capsule in time.",1999.0
1115.0,Fiction,Requiem for Harlem,Henry Roth,"The fourth and final volume of the epic series Mercy of a Rude Stream, by one of the century's most respected authors, follows a tormented love affair while recreating the world of Jewish Harlem and bohemian Greenwich Village. Reprint. 15,000 first printing.",1998.0
1116.0,Fiction,High Five,Janet Evanovich,"New Jersey bounty hunter Stephanie Plum struggles to make ends meet while coping with a missing Uncle Fred, homicidal rapist and stalker Benito Ramirez, amorous vice cop Joe Morelli, and would-be lover Roger",1999.0
1117.0,Biography & Autobiography,"James Tiptree, Jr.",Julie Phillips,"Profiles the successful woman author who hid behind the male pen name of James Tiptree, Jr., to publish short works of science fiction in the 1970s, describing her work as an intelligence officer during World War II and her shocking suicide.",2006.0
1118.0,Fiction,Birds of America,Lorrie Moore,"A National Book Critics Circle Award Finalist A New York Times Editors' Choice A Pulishers Weekly Best Book of the Year Birds of America is a stunning collection of twelve stories by Lorrie Moore, one of our finest authors at work today. With her characteristic wit and piercing intelligence she unfolds a series of portraits of the lost and unsettled of America, and with a trademark humor that fuels each story with pathos and understanding.",1999.0
1119.0,Health & Fitness,And The Band Played on,Randy Shilts,"An examination of the AIDS crisis exposes the federal government for its inaction, health authorities for their greed, and scientists for their desire for prestige in the face of the AIDS pandemic.",2000.0
1120.0,History,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,"An unforgettable firsthand account of a people's response to genocide and what it tells us about humanity. This remarkable debut book chronicles what has happened in Rwanda and neighboring states since 1994, when the Rwandan government called on everyone in the Hutu majority to murder everyone in the Tutsi minority. Though the killing was low-tech--largely by machete--it was carried out at shocking speed: some 800,000 people were exterminated in a hundred days. A Tutsi pastor, in a letter to his church president, a Hutu, used the chilling phrase that gives Philip Gourevitch his title. With keen dramatic intensity, Gourevitch frames the genesis and horror of Rwanda's ""genocidal logic"" in the anguish of its aftermath: the mass displacements, the temptations of revenge and the quest for justice, the impossibly crowded prisons and refugee camps. Through intimate portraits of Rwandans in all walks of life, he focuses on the psychological and political challenges of survival and on how the new leaders of postcolonial Africa went to war in the Congo when resurgent genocidal forces threatened to overrun central Africa. Can a country composed largely of perpetrators and victims create a cohesive national society? This moving contribution to the literature of witness tells us much about the struggle everywhere to forge sane, habitable political orders, and about the stubbornness of the human spirit in a world of extremity. We Wish to Inform You That Tomorrow We Will Be Killed with Our Families is the winner of the National Book Critics Circle Award for Nonfiction.",1999.0
1121.0,Fiction,Death in the Andamans,M. M. Kaye,"While visiting the Andaman Islands in the Indian Ocean, Copper Randal and Valerie Masson become entangled in a mysterious case of drowning and murder. Reprint. 15,000 first printing.",2000.0
1122.0,Fiction,Death in Berlin,M. M. Kaye,"En route to a Germany still scarred by World War II, young Miranda Brand finds herself caught up in a search for a fortune in lost diamonds and in a murder committed on the night train to Berlin. Reprint. 10,000 first printing.",2000.0
1123.0,Fiction,Death in Kashmir,M. M. Kaye,"When Sarah Parrish journeys to Gulmarg, a vacation ski resort in the mountains above the valley of Kashmir, she finds herself embroiled in danger, intrigue, and multiple murder. Reprint. 10,000 first printing.",2000.0
1124.0,Fiction,Timbuktu,Paul Auster,"Mr. Bones, the canine hero of Paul Auster's astonishing new book, is the sidekick and confidant of Willy G. Christmas, a brilliant and troubled homeless man from Brooklyn. As Willy's body slowly expires, he sets off with Mr. Bones for Baltimore in search of his high school English teacher and a new home for his companion. Mr. Bones is our witness during their journey, and out of his thoughts, Paul Auster has spun one of the richest, most compelling tales in American fiction.",1999.0
1125.0,Fiction,The Italian Girl,Patricia Hall,"Investigating a skeleton found near Bradfield, Michael Thackeray learns that the remains are those of a girl who went missing in 1953.",2000.0
1126.0,Fiction,The Naked and the Dead,Norman Mailer,"Portrays the contrasting personalities and nostalgic reminiscences of a group of World War II American soldiers engaged in a combat operation against the Japanese. Reprint. 15,000 first printing.",2000.0
1127.0,Biography & Autobiography,Enchanted Evening,M. M. Kaye,"The author concludes her autobiography with stories of her life in England, India, and China in the years between the two World Wars.",2000.0
1128.0,Photography,The Illustrated Story Of O,Pauline Reage,"""...I was convinced that Story of O was going to revolutionize the book trade, that I would sell hundreds of thousands of copies across the world, and that moral attitudes would change overnight. The audacity of this novel seemed to me to be liberating rather than provocative. I perceived the promise of a new freedom. And I expected to cause a shock.""--Jean-Jacques Pauvert, from the Introduction When Story of O was first published in 1954 in Paris by Jean-Jacques Pauvert, it narrowly escaped censorship by the Department of the Interior and eventually became the most widely translated French novel in the world. It describes in cool, elegant language the experiences of a young woman as she willingly enters a dark maze of perverse sexual practices within a clandestine amoral society. Revelling in pure fantasy, its theme is total submission through love to excesses of sadism and masochism, and the bond of ""ownership."" Now Doris Kloster, a photographer specializing in issues of women's sexuality and power, has realized a long-standing dream. She has created a photographic representation of one of the most famous and controversial erotic novels ever published. The result is another sensation. The Illustrated Story of O presents over 50 superb images which mirror perfectly the intense eroticism of the novel. Shooting entirely in Paris and its environs, Doris Kloster has succeeded in matching characters, locations, costumes and props to the original descriptions. And each magnificent color photograph is accompanied by a short extract from the novel. In addition, there is a Preface from Doris Kloster herself and an Introduction from Jean-Jacques Pauvert, the original publisher of the novel. The Illustrated Story of O presents a rich visual feast that will delight fans of Doris Kloster's work, and appeal strongly to connoisseurs of the darker excesses of sexuality. It is destined to become a classic collector's edition.",2001.0
1129.0,Biography & Autobiography,Catfish and Mandala,Andrew X. Pham,A Vietnamese American returns to the land of his birth in a memoir of the consequences of war and the divide that still separates Asian Americans from the dominant culture,2000.0
1130.0,Fiction,The Satanic Verses,Salman Rushdie,The explosion of a jetliner over India triggers an Apocalyptic battle that sweeps across the subcontinent. Reprint.,2000.0
1131.0,Travel,Round Ireland with a Fridge,Tony Hawks,"Have you ever made a drunken bet? Worse, still, have you eveer tried to win one? In attempting to hitchhike round Ireland wich a fridge, Tony Hawks did both, and his foolhardiness led him to one of the best experiences of his life. Joined by his trusty traveling companion-cum-domestic appliance, he made his way from Dublin to Donegal, from Sligo through Mayo, Galway, Clare, Kerry, Cork, Wexford, Wicklow--and back again to Dublin. In their month of madness, Tony and his fridge met a real prince, a bogus king, and the fridge got christened. They surfed together, entered a bachelor festival, and one of them had sex without the other knowing. And unexpectedly, the fridge itself became a momentary focus for the people of Ireland. An international bestseller, Round Ireland with a Fridge is a classic travel adventure in the tradition of Bill Bryson with a dash of Dave Barry.",2001.0
1132.0,Fiction,An Unfortunate Woman,Richard Brautigan,"Completed prior to the author's 1984 suicide, a last unpublished novel explores what he terms the fragile and mysterious shadowland surrounding death and considers the protagonist's ruminations on another person's suicide. By the author of Trout Fishing in America. Reprint. 35,000 first printing.",2001.0
1133.0,Fiction,The Glass Bead Game,Hermann Hesse,"The final novel of Hermann Hesse, for which he won the Nobel Prize for Literature in 1946, The Glass Bead Game is a fascinating tale of the complexity of modern life as well as a classic of modern literature Set in the 23rd century, The Glass Bead Game is the story of Joseph Knecht, who has been raised in Castalia, the remote place his society has provided for the intellectual elite to grow and flourish. Since childhood, Knecht has been consumed with mastering the Glass Bead Game, which requires a synthesis of aesthetics and scientific arts, such as mathematics, music, logic, and philosophy, which he achieves in adulthood, becoming a Magister Ludi (Master of the Game).",2002.0
1134.0,Fiction,Emotionally Weird,Kate Atkinson,"Seeking refuge in the ancient, mouldering home of their ancestors on an island off the coast of Scotland, Effie and her mother, Nora, reveal the secrets of their lives and loves, past and present, to each other, in a hilarious novel about mothers, daughters, and love. Reprint. 25,000 first printing.",2001.0
1135.0,Biography & Autobiography,Waiting for My Cats to Die,Stacy Horn,A hilarious romp through the joys and terrors of middle age follows the adventures of Stacy Horn--a forty-year-old woman and TV addict who has dedicated herself to caring for her two diabetic cats and to dealing with the sudden realization of a mid-life crisis. Reprint.,2002.0
1136.0,Fiction,Serious Girls,Maxine Swann,"Sixteen year olds Maya and Roe form an intense friendship when they find themselves cast as outsiders at an all girls boarding school. Sharing their life stories, and curiosity about the adult world, they wonder how they might become ""people"" with style and character as opposed to school girls. When they move beyond the enclosed world of the school to experience the city, and relationships with men, both girls test the line between an emerging sense of self and its total disintegration.",2004.0
1137.0,Fiction,Lords of the White Castle,Elizabeth Chadwick,"When Prince John accuses Fulke FitzWarin, a young courtier, of cheating at chess, the royal household is thrown into terrible turmoil, sparking a rivalry that could prevent the FitzWarin family from reclaiming their rightful estate.",2002.0
1138.0,Fiction,The Christmas Shoes,Donna VanLiere,"While shopping for gifts on Christmas Eve, Robert, a successful lawyer whose family life is falling apart, meets Nathan, an eight-year-old boy whose mother is dying.",2001.0
1139.0,Language Arts & Disciplines,How to Write a Damn Good Mystery,James N. Frey,"Edgar award nominee James N. Frey, author of the internationally best-selling books on the craft of writing, How to Write a Damn Good Novel, How to Write a Damn Good Novel II: Advanced Techniques, and The Key: How to Write Damn Good Fiction Using the Power of Myth, has now written what is certain to become the standard ""how to"" book for mystery writing, How to Write a Damn Good Mystery. Frey urges writers to aim high-not to try to write a good-enough-to-get-published mystery, but a damn good mystery. A damn good mystery is first a dramatic novel, Frey insists-a dramatic novel with living, breathing characters-and he shows his readers how to create a living, breathing, believable character who will be clever and resourceful, willful and resolute, and will be what Frey calls ""the author of the plot behind the plot."" Frey then shows, in his well-known, entertaining, and accessible (and often humorous) style , how the characters-the entire ensemble, including the murderer, the detective, the authorities, the victims, the suspects, the witnesses and the bystanders-create a complete and coherent world. Exploring both the on-stage action and the behind-the-scenes intrigue, Frey shows prospective writers how to build a fleshed-out, believable, and logical world. He shows them exactly which parts of that world show up in the pages of a damn good mystery-and which parts are held back just long enough to keep the reader guessing. This is an indispensable step-by-step guide for anyone who's ever dreamed of writing a damn good mystery.",2004.0
1140.0,Fiction,Jenny and the Jaws of Life,Jincy Willett,"A collection of stories about children, rapists, businessmen, and adulterers who move in and out of particular loves and specific desires.",2002.0
1141.0,Fiction,Plum Lovin',Janet Evanovich,"Receiving simultaneous caches of love letters and hate mail, Connie Rosolli enlists the aid of Lula, Grandma Mazur, and the enigmatic Diesel when she becomes suspicious that her secret admirer and stalker are the same person. By the author of Twelve Sharp. 1,250,000 first printing.",2007.0
